id,stage,yoy_revenue_growth,nrr,customer_growth_rate,tam_bn,pmf_indicator,runway_months,customer_churn,revenue_concentration_risk,market_regulatory_risk,execution_risk,monthly_burn_rate_k,ltv_cac,cac_payback_months,revenue_per_employee,gross_margin,strategic_alignment,portfolio_synergies,market_positioning,future_fundraising_potential,competitive_differentiation
0,Series B,0.6702,1.2609,0.4996,16.09,8,14.9,0.0614,0.1058,7,3,515.3,5.06,11.8,239312,0.8512,5,6,7,3,7
1,Series A,1.2147,1.2362,1.2069,4.61,5,13.7,0.0829,0.1474,2,7,143.4,4.19,9.6,153585,0.7656,8,8,4,5,9
2,Series A,1.3243,1.1469,1.1358,7.46,9,11.4,0.064,0.1018,5,5,261.6,4.66,12.9,162458,0.7688,3,3,5,3,6
3,Series A,1.024,1.1913,0.9759,7.08,8,15.5,0.0891,0.176,1,3,125.5,4.09,9.5,132682,0.828,9,2,9,5,10
4,Series A,1.1957,1.1893,1.144,7.31,6,14.1,0.107,0.1417,9,5,124.1,3.23,13.1,136950,0.7242,10,3,7,8,6
5,Series A,0.9429,1.1254,0.8732,4.89,7,10.9,0.0583,0.3405,3,7,283.5,4.75,9.9,177534,0.8168,9,6,9,5,3
6,Series A,1.4123,1.1639,1.187,4.45,4,15.8,0.0624,0.3142,1,6,256.5,4.8,11.0,150184,0.7876,8,2,9,6,9
7,Series B,0.5223,1.2325,0.3807,7.07,4,22.2,0.0285,0.141,4,5,453.4,5.04,9.1,152280,0.8746,6,9,4,3,5
8,Seed,2.0833,1.1376,2.0239,1.68,4,6.7,0.1364,0.4083,3,5,66.3,1.54,21.9,94808,0.578,5,2,8,8,3
9,Seed,2.387,1.0954,2.46,0.77,3,13.2,0.1191,0.215,2,8,73.3,2.24,22.0,90412,0.6134,8,4,8,7,10
10,Series B,0.7212,1.1912,0.5113,13.7,5,27.9,0.0646,0.1198,4,6,561.8,6.68,8.6,181592,0.8504,6,5,10,3,8
11,Series A,0.8362,1.2842,0.7093,2.98,9,18.3,0.0607,0.1448,3,8,227.9,5.19,9.4,124825,0.8166,6,6,7,4,10
12,Series A,0.8067,1.083,0.7547,2.97,4,15.1,0.0986,0.2453,4,2,156.0,5.01,13.0,159118,0.7197,7,10,4,6,10
13,Series B,0.5199,1.3157,0.4633,10.73,6,26.9,0.0212,0.0966,2,6,471.9,4.32,6.0,191911,0.8756,4,10,9,9,6
14,Seed,2.6126,0.9536,2.1756,2.57,4,12.0,0.1195,0.4123,9,4,76.4,3.24,19.2,70628,0.6248,3,7,10,9,5
15,Seed,1.6461,0.9973,1.6853,2.54,4,5.1,0.0913,0.4378,6,3,48.8,3.15,15.7,57193,0.7342,4,4,8,4,6
16,Series B,0.3095,1.1638,0.2275,6.07,4,22.3,0.054,0.0772,5,3,361.3,5.51,11.1,235113,0.7557,10,4,5,4,8
17,Seed,1.9493,0.9599,1.7779,1.81,5,5.0,0.2217,0.2208,3,7,95.5,1.7,22.1,95132,0.7459,7,9,8,8,7
18,Series A,0.7211,1.184,0.651,8.86,9,14.6,0.077,0.2599,4,4,168.0,3.35,11.3,133351,0.7349,7,5,9,5,6
19,Series A,1.2172,1.1242,1.2047,9.33,6,14.8,0.073,0.2339,1,4,272.7,4.63,13.6,142617,0.7949,4,8,4,4,7
