factor,metric,pca_weight
growth,yoy_revenue_growth,0.5002
growth,nrr,-0.4497
growth,customer_growth_rate,0.5023
growth,tam_bn,-0.4331
growth,pmf_indicator,-0.3281
risk,runway_months,0.6258
risk,customer_churn,0.5421
risk,revenue_concentration_risk,0.532
risk,market_regulatory_risk,0.1651
risk,execution_risk,-0.0645
capital_efficiency,monthly_burn_rate_k,-0.4523
capital_efficiency,ltv_cac,0.4552
capital_efficiency,cac_payback_months,0.4497
capital_efficiency,revenue_per_employee,0.4304
capital_efficiency,gross_margin,0.448
strategic_importance,strategic_alignment,-0.1477
strategic_importance,portfolio_synergies,-0.2195
strategic_importance,market_positioning,0.6524
strategic_importance,future_fundraising_potential,0.5426
strategic_importance,competitive_differentiation,-0.4581
