id,growth_score,risk_score,capital_efficiency_score,strategic_importance_score
0,0.0,4.15,9.29,2.92
1,4.43,4.32,5.74,0.1
2,3.6,4.44,6.16,2.85
3,3.03,4.52,5.84,4.29
4,3.96,5.81,4.11,6.34
5,3.91,6.12,7.31,7.0
6,5.46,4.86,6.47,5.57
7,2.43,1.78,8.42,0.97
8,7.98,9.48,0.0,9.56
9,9.62,5.8,0.6,4.57
10,1.76,1.29,10.0,4.66
11,2.22,2.97,6.67,1.89
12,5.0,5.89,5.44,0.0
13,0.79,0.0,9.1,8.02
14,10.0,8.96,1.36,10.0
15,7.89,9.51,2.39,5.33
16,2.63,2.06,8.14,1.17
17,8.51,10.0,1.53,5.88
18,1.75,5.47,4.65,6.02
19,4.19,4.72,6.04,1.11
