id,growth_in_bull,growth_in_recession,growth_in_stagflation,growth_expected,risk_eff_in_bull,risk_eff_in_recession,risk_eff_in_stagflation,risk_eff_expected,strategic_in_bull,strategic_in_recession,strategic_in_stagflation,strategic_expected,growth_risk_in_bull,growth_risk_in_recession,growth_risk_in_stagflation,growth_risk_expected,efficiency_in_bull,efficiency_in_recession,efficiency_in_stagflation,efficiency_expected,baseline_in_bull,baseline_in_recession,baseline_in_stagflation,baseline_expected
0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
1,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,1450000.0,950000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,50000.0,50000.0,50000.0,2000000.0,200000.0,50000.0,50000.0,50000.0,50000.0,50000.0
2,50000.0,50000.0,50000.0,50000.0,2000000.0,1250000.0,1800000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,950000.0,2000000.0,1800000.0,1450000.0,600000.0,2000000.0,1950000.0
3,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,1150000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
4,50000.0,50000.0,550000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,900000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
5,50000.0,350000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,250000.0,50000.0,50000.0,50000.0,1600000.0,50000.0,2000000.0,1700000.0
6,500000.0,650000.0,500000.0,500000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,50000.0,50000.0,450000.0,900000.0,50000.0,50000.0,150000.0,50000.0,50000.0,50000.0,50000.0
7,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,1450000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
8,50000.0,50000.0,50000.0,50000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,1300000.0,50000.0,50000.0,50000.0,950000.0,50000.0,50000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,1700000.0,50000.0,50000.0
9,50000.0,50000.0,50000.0,50000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,2000000.0,2000000.0,550000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0
10,1500000.0,1250000.0,900000.0,1450000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,850000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
11,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
12,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,1250000.0,2000000.0,1250000.0,1250000.0,50000.0,50000.0,50000.0,1000000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,1000000.0,2000000.0,2000000.0
13,50000.0,650000.0,50000.0,50000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,2000000.0,50000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,2000000.0,50000.0,50000.0
14,1850000.0,50000.0,1350000.0,1250000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,50000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,50000.0,50000.0,300000.0
15,1150000.0,2000000.0,1950000.0,1650000.0,1250000.0,50000.0,50000.0,350000.0,50000.0,1100000.0,50000.0,50000.0,150000.0,350000.0,1750000.0,1850000.0,1650000.0,350000.0,1100000.0,1300000.0,1700000.0,2000000.0,1550000.0,1350000.0
16,600000.0,500000.0,150000.0,500000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,1750000.0,50000.0,1500000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
17,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
18,1750000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2000000.0,2000000.0,2000000.0,2000000.0,50000.0,50000.0,50000.0,100000.0,550000.0,2000000.0,1700000.0,2000000.0
19,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
