id,aggressive_in_bull,aggressive_in_recession,aggressive_in_stagflation,safety_in_bull,safety_in_recession,safety_in_stagflation,balanced_in_bull,balanced_in_recession,balanced_in_stagflation
0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
1,100000.0,100000.0,100000.0,100000.0,804934.0,100000.0,100000.0,100000.0,100000.0
2,100000.0,100000.0,100000.0,367921.0,100000.0,100000.0,1309810.0,511111.0,2000000.0
3,1572079.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
4,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
5,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,1447472.0,100000.0,2000000.0
6,1763885.0,1603379.0,835450.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
7,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
8,100000.0,100000.0,100000.0,1567361.0,2000000.0,2000000.0,100000.0,1598684.0,100000.0
9,100000.0,100000.0,100000.0,100000.0,1640378.0,1211137.0,100000.0,100000.0,100000.0
10,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
11,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
12,2000000.0,2000000.0,2000000.0,664717.0,100000.0,100000.0,2000000.0,490205.0,2000000.0
13,100000.0,896621.0,100000.0,2000000.0,2000000.0,2000000.0,100000.0,2000000.0,100000.0
14,2000000.0,100000.0,2000000.0,100000.0,100000.0,100000.0,2000000.0,100000.0,100000.0
15,728166.0,2000000.0,1894793.0,2000000.0,960128.0,1731302.0,1657964.0,2000000.0,1348278.0
16,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
17,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
18,535870.0,2000000.0,1769756.0,2000000.0,1194560.0,1557561.0,184754.0,2000000.0,1151722.0
19,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
