id,growth_score,risk_score,capital_efficiency_score,strategic_importance_score
0,6.71,3.38,0.0,5.65
1,1.85,9.72,8.68,0.0
2,3.4,8.36,8.96,9.75
3,10.0,1.92,3.27,0.38
4,3.91,4.71,5.88,6.62
5,3.94,5.0,7.21,7.39
6,7.06,5.31,7.19,2.88
7,9.94,3.68,0.87,2.97
8,0.0,10.0,10.0,5.6
9,3.59,9.96,8.97,3.02
10,6.69,5.17,6.76,0.56
11,8.59,0.81,2.38,2.86
12,5.76,6.23,6.37,5.03
13,2.91,9.3,9.99,2.59
14,9.23,0.0,2.31,10.0
15,5.46,6.88,7.2,4.76
16,6.79,6.07,4.97,1.9
17,3.56,5.29,4.98,0.37
18,5.93,6.91,6.82,2.96
19,5.47,6.47,6.89,2.02
