id,growth_score,risk_score,capital_efficiency_score,strategic_importance_score
0,3.29,3.38,0.0,5.65
1,8.15,9.72,8.68,0.0
2,6.6,8.36,8.96,9.75
3,0.0,1.92,3.27,0.38
4,6.09,4.71,5.88,6.62
5,6.06,5.0,7.21,7.39
6,2.94,5.31,7.19,2.88
7,0.06,3.68,0.87,2.97
8,10.0,10.0,10.0,5.6
9,6.41,9.96,8.97,3.02
10,3.31,5.17,6.76,0.56
11,1.41,0.81,2.38,2.86
12,4.24,6.23,6.37,5.03
13,7.09,9.3,9.99,2.59
14,0.77,0.0,2.31,10.0
15,4.54,6.88,7.2,4.76
16,3.21,6.07,4.97,1.9
17,6.44,5.29,4.98,0.37
18,4.07,6.91,6.82,2.96
19,4.53,6.47,6.89,2.02
